"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2236","Нельзя добавить желание без названия","ui","Wed Dec 18 11:10:37 GMT 2024","passed","Wed Dec 18 11:10:39 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","1048","Успешная авторизация с валидными credentials (201)","api","Wed Dec 18 11:10:39 GMT 2024","passed","Wed Dec 18 11:10:41 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","3781","Авторизация с валидными почтой и паролем","ui","Wed Dec 18 11:10:14 GMT 2024","passed","Wed Dec 18 11:10:18 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","4362","Пользователь может добавить желание","ui","Wed Dec 18 11:10:29 GMT 2024","passed","Wed Dec 18 11:10:33 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","273","Попытка авторизации с неверным email (400)","api","Wed Dec 18 11:10:41 GMT 2024","passed","Wed Dec 18 11:10:41 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","4247","Неуспешная авторизация с некорректным паролем","ui","Wed Dec 18 11:10:18 GMT 2024","passed","Wed Dec 18 11:10:22 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","3222","Пользователь может добавить желание только с названием","ui","Wed Dec 18 11:10:33 GMT 2024","passed","Wed Dec 18 11:10:37 GMT 2024","Добавление желания","ui/mywishes.spec.js","",""
"","2439","Редирект со страницы ""Мои желания""","ui","Wed Dec 18 11:10:27 GMT 2024","passed","Wed Dec 18 11:10:29 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","2063","Переход по кнопке ""Войти""","ui","Wed Dec 18 11:10:24 GMT 2024","passed","Wed Dec 18 11:10:27 GMT 2024","Доступ к странице авторизации","ui/login.spec.js","",""
"","179","Попытка авторизации без payload с credentials (400)","api","Wed Dec 18 11:10:42 GMT 2024","passed","Wed Dec 18 11:10:42 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","2558","Неуспешная авторизация с некорректной почтой","ui","Wed Dec 18 11:10:22 GMT 2024","passed","Wed Dec 18 11:10:24 GMT 2024","Авторизация по электронной почте","ui/login.spec.js","",""
"","924","Попытка авторизации с неверным паролем (400)","api","Wed Dec 18 11:10:41 GMT 2024","passed","Wed Dec 18 11:10:42 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
"","225","Попытка авторизации с username вместо email-a (400)","api","Wed Dec 18 11:10:42 GMT 2024","passed","Wed Dec 18 11:10:42 GMT 2024","/auth/login > Авторизация по электронной почте","api/login.spec.js","",""
